Modul;Frage;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Wofür sind die anorganischen Bestandteile des Knochens?;knochentypische harte und nicht elastische Struktur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was steuert den fortwährenden Knochenaufbau und Knochenabbau im menschlichen Körper?;Hormone;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Wo wird der Mineralstoff Kalzium im Körper gespeichert?;zu 99% in den Knochen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Welche Funktionen können Knochen zugeteilt werden?;formend;stützend (gegen SchwerkraftI;schützend (innere Organe);bewegend (Bewegung über Gelenkverbindungen zulassend);Ursprung und Ansatz der Skelettmuskulatur;Mineralienspeicher;Blutbildung (rote und weisse Blutkörperchen sowie Blutplättchen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was sind Chondrozyten?;Knorpelzellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Welche Arten von Knorpel gibt es?;Hyaliner Knorpel (Gelenkknorpel);Faserknorpel (Bandscheiben, Menisken);elastischer Knorpel (Nase, Ohrmuschel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne Hauptaufgaben von hyalinem Knorpel;Schutzschicht der Knochenenden;Reibungsdämpfung;Puffer für Druck- und Stossbelastungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Wie wird hyliner Knorpel ernährt?;Wechselspiel Belastung und Entlastung;dabei gelangt durch Diffusion (wie Schwamm) die nährstoffreice Gelenksflüssigkeit (Synovia) in den Knorpel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Wie reagiert hyaliner Knorpel auf regelmässig einwirkende Belastung;Verdickung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die Unterschiede von echten und unechten Gelenken;Diarthrosen (echte Gelenke) sind klar beweglich, untergeordnet werden dazu Amphiarthrosen (Bsp ISG, hat Gelenkspalt und ist minim beweglich);Synarthrosen (unechte Gelenke) sind nicht bewegleich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was sind Amphiarthrosen?;Gelenke mit geringer Beweglichkeit ;Bsp. Illiosacralgelenk ISG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was sind Synarthrosen?;unbewegliche Gelenke (unechte Gelenke);Verbindung zwischen Knochenelementen ist durch Gewebe (Knochen-, Knorpel-, Bindegewebe) vollständig aufgefüllt;Bsp. Schädelnähte, Schambeinfuge (Symphyse), Kreuzbein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was sind Diarthrosen?;Gelenke welche in mind. einer Ebene klar beweglich sind (= echte Gelenke);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Aus welchen Strukturen bestehen echte Gelenke?;Gelenkkapsel;Gelenkhöhle mit Gelenkflüssigkeit (Synovia);Gelenkspalt (Trennraum zwischen den Gelenkflächen);Knochen-Gelenkflächen mit hyalinem Knorpel;Gelenkkopf, welcher in der Gelenkpfanne liegt;Die Gelenkkapsel ist eine abschliessende und gut innervierte Schutzhülle aus Bindegewebe mit einer äusseren und einer inneren Schicht. Sie schützt das Gelenk vor Luxation, stabilisiert die Knochenenden und produziert Synovia, die nötige Gelenkschmiere.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die Aufgaben der Gelenkflüssigkeit;Nährung des hyalinen Knorpelgewebes;Gelenkschmierung (ergibt Reibungsminderung);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist zuständig für die Produktion der Gelenkflüssigkeit?;innere Schicht der Gelenkkapsel;angeregt durch die Bewegung (Mobilisation) im Gelenk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne den Aufbau von Bändern (Ligamenten);sind hauptsächlich aus Kollagen;faserige, zugfeste Gewebestränge, beschränkt dehnfähig und nur gering durchblutet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Welche Funktion haben Bänder?;hemmen Bewegungsradien des Gelenks (primäre Stabilisation);übernehmen Kontrollfunktion betreffend Lage des Gelenks;Rezeptoren (sensible Sensoren) übernehmen Weiterleitung von Informationen über die jeweilige Gelenkstellung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Wodurch besteht die Sicherung der echten Gelenke?;Skelettmuskulatur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die unterschiedlichen Gelenkformen;Kugelgelenk (Bsp. Schultergelenk) - 3 Freiheitsgrade;Rad- oder Zapfengelenk (Bsp. zwischen Elle und Speiche / Ulna und Radius) - 1 Freiheitsgrad;Eigelenk (Bsp. zwischen Unterarmknochen und Handwurzelknochen = proximales Handgelenk)  - 2 Freiheitsgrade;Sattelgelenk (Bsp. Daumengrundgelenk) - 2 Freiheitsgrade;Scharniergelenk (Bsp. Fingermittelgelenke - 1 Freiheitsgrad;Planes- / Gleitgelenk (Bsp. Kleine Wirbelgelenke) - 2 Freiheitsgrade;Dreh- und Scharniergelenk (Knie) - 2 Freiheitsgrade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne Gelenksformen mit einem Freiheitsgrad;Rad-oder Zapfengelenk;Scharniergelenk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne Gelenksformen mit zwei Freiheitsgraden;Eigelenk;Sattelgelenk;Planes-/ Gleitgelenk;Dreh- und Scharniergelenk (Knie);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne Gelenksformen mit drei Freiheitsgraden;Kugelgelenk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne Anzahl Wirbelkörper pro Wirbelsäulenabschnitt;7 Halswirbel (Cervikal C1 - C7);12 Brustwirbel (Thoracal Th1 - Th12);5 Lendenwirbel (Lumbal L1 - L5);1 Kreuzbein (5 Kreuzbeiwirbel zusammengewachsen);1 Steissbein (3-4 Steissbeinwirbel zusammengewachsen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;In welche Abschnitte wird die Wirbelsäule unterteilt?;Halswirbelsäule (HWS);Brustwirbelsäule (BWS);Lendenwirbelsäule (LWS);Kreuzbein (Os sacrum);Steissbein (Os coccygis);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was besdeutet Atlas und Axis?;Atlas ist der 1. Halswirbel;Axis ist der 2. Halswirbel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was bildet das obere Kopfgelenk?;Atlas und Hinterhauptbein (Atlanto-Occipital Gelenk;Eigelenk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was bildet das untere Kopfgelenk?;Atlas und Axis bilden das bandscheibenfreie untere Kopfgelenk;Rad- oder Zapfengelenk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne Aufbau von Bandscheiben;äussere Schicht aus kollagenen Fasern;innere Schicht aus gallertartigem Kern (Nucleus pulposus);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die Krümmungen der einzelnen Abschnitte der Wirbelsäule;Halslordose;Brustkyphose;Lendenlordose;Kreuzbeinkyphose;Steissbein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Wie werden Bandscheiben durchblutet und innerviert?;nur äussere Schicht mit kollagenen Fasern ist durchblutet und innerviert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;In welchem Abschnitt weist die Wirbelsäule die höchste Rotationsfähigkeit auf und wie gross ist diese?;Halswirbelsäule (HWS);bis 50 Grad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Wieviele Grade kann Lendenwirbelsegement rotieren?;rund 1 Grad pro Wirbelsegment und Richtung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die Faktoren des Bewegungsspielraums eines Gelenks;Gelenksform;Zugspannung der Bänder im Verlauf der Bewegung;Weichteilhemmung durch umliegende Gewebestrukturen (erhöht bei Adipositas);Dehnfähigkeit der Muskulatur (neurale Toleranz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die verschiedenen Arten von Muskulatur;Quergestreifte Muskulatur (Skelett);glatte Muskulatur (innere Organe);Herzmuskulatur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die Hauptaufgaben des aktiven Bewegungsapparates;Bewegung und Bewegungskontrolle;Stabilisation der Gelenkstrukturen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne und unterscheide  die Befestigungspunkte des Muskels an den Knochen;Ursprung: liegt näher am Körperzentrum, am unbeweglichen Teil (punctum fixum);Ansatz: liegt weiter entfernt vom Körperzentrum, am beweglicheren Teil (punctum mobile);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Woraus besteht Muskelgewebe?;85% Muskelzellen (Muskelfasern);15% Bindegewebshüllen (Faszien);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Welche Strukturen gehören zum echten Bindegewebe?;Sehnen;Bänder;Faszien;Muskelhüllen;Sehnenscheiden und Schleimbeutel;Gelenkkapsel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was sind kontraktile Elemente?;Aktin- und Myosinfilamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist Titin und was bewirkt es?;strukturelles und elastisches Proteinelement in der Myofibrille (wie Aktin und Myosin);verbindet Z-Scheiben und Myosinfilamente;ermöglicht die Längenveränderung im Muskel;Titin führt nach einer exzentrischen Kontraktion die Aktin und Myosin Filamente ordnend zurück in die Ruhelänge;Titin ist verantwortlich für einen Teil des Dehnungwiderstandes des Muskels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
